2026-03-03T20:08:34.369672,"r, 16.96m,0000000016Hz,0000030639c,0000000.066s, 026.7C"
2026-03-03T20:08:39.370125,"r, 16.99m,0000000014Hz,0000031356c,0000000.068s, 026.7C"
2026-03-03T20:08:44.370565,"r, 16.97m,0000000015Hz,0000030898c,0000000.067s, 026.7C"
2026-03-03T20:08:49.370982,"r, 16.98m,0000000015Hz,0000030996c,0000000.067s, 026.7C"
2026-03-03T20:08:54.371419,"r, 16.95m,0000000015Hz,0000030167c,0000000.065s, 026.7C"
2026-03-03T20:08:59.371943,"r, 16.95m,0000000015Hz,0000030335c,0000000.066s, 026.7C"
2026-03-03T20:09:04.372474,"r, 16.96m,0000000015Hz,0000030492c,0000000.066s, 026.7C"
2026-03-03T20:09:09.372901,"r, 16.96m,0000000015Hz,0000030495c,0000000.066s, 026.7C"
2026-03-03T20:09:14.373385,"r, 16.98m,0000000015Hz,0000031172c,0000000.068s, 026.7C"
2026-03-03T20:09:19.373819,"r, 16.98m,0000000015Hz,0000030985c,0000000.067s, 026.7C"
2026-03-03T20:09:24.374261,"r, 16.97m,0000000015Hz,0000030750c,0000000.067s, 026.7C"
2026-03-03T20:09:29.374699,"r, 16.97m,0000000015Hz,0000030801c,0000000.067s, 026.7C"
2026-03-03T20:09:34.375200,"r, 16.97m,0000000015Hz,0000030796c,0000000.067s, 026.7C"
2026-03-03T20:09:39.375651,"r, 16.97m,0000000015Hz,0000030799c,0000000.067s, 026.7C"
2026-03-03T20:09:44.376131,"r, 16.97m,0000000015Hz,0000030872c,0000000.067s, 026.7C"
2026-03-03T20:09:49.376580,"r, 16.97m,0000000014Hz,0000030957c,0000000.067s, 026.7C"
2026-03-03T20:09:54.377131,"r, 16.98m,0000000015Hz,0000031002c,0000000.067s, 026.7C"
2026-03-03T20:09:59.377627,"r, 16.98m,0000000015Hz,0000031043c,0000000.067s, 026.7C"
2026-03-03T20:10:04.378030,"r, 16.99m,0000000015Hz,0000031345c,0000000.068s, 026.7C"
2026-03-03T20:10:09.378485,"r, 16.98m,0000000014Hz,0000031133c,0000000.068s, 026.7C"
2026-03-03T20:10:14.378953,"r, 16.98m,0000000014Hz,0000031202c,0000000.068s, 026.7C"
2026-03-03T20:10:19.379453,"r, 16.99m,0000000015Hz,0000031297c,0000000.068s, 026.7C"
2026-03-03T20:10:24.379953,"r, 16.99m,0000000015Hz,0000031268c,0000000.068s, 026.7C"
2026-03-03T20:10:29.380434,"r, 16.99m,0000000014Hz,0000031251c,0000000.068s, 026.7C"
2026-03-03T20:10:34.380928,"r, 16.99m,0000000015Hz,0000031454c,0000000.068s, 026.7C"
2026-03-03T20:10:39.381438,"r, 17.00m,0000000015Hz,0000031684c,0000000.069s, 026.7C"
2026-03-03T20:10:44.381919,"r, 17.02m,0000000015Hz,0000032266c,0000000.070s, 026.7C"
2026-03-03T20:10:49.382339,"r, 17.02m,0000000015Hz,0000032361c,0000000.070s, 026.7C"
2026-03-03T20:10:54.382803,"r, 17.01m,0000000015Hz,0000032006c,0000000.069s, 026.7C"
2026-03-03T20:10:59.383290,"r, 17.02m,0000000014Hz,0000032330c,0000000.070s, 026.7C"
2026-03-03T20:11:04.383773,"r, 17.02m,0000000014Hz,0000032159c,0000000.070s, 026.7C"
2026-03-03T20:11:09.384216,"r, 17.02m,0000000014Hz,0000032240c,0000000.070s, 026.7C"
2026-03-03T20:11:14.384647,"r, 17.03m,0000000014Hz,0000032442c,0000000.070s, 026.7C"
2026-03-03T20:11:19.385070,"r, 17.03m,0000000014Hz,0000032557c,0000000.071s, 026.7C"
2026-03-03T20:11:24.385556,"r, 17.04m,0000000014Hz,0000032650c,0000000.071s, 026.7C"
2026-03-03T20:11:29.385965,"r, 17.04m,0000000014Hz,0000032850c,0000000.071s, 026.7C"
2026-03-03T20:11:34.386392,"r, 17.04m,0000000015Hz,0000032839c,0000000.071s, 026.7C"
2026-03-03T20:11:39.386804,"r, 17.04m,0000000014Hz,0000032933c,0000000.071s, 026.7C"
